Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,EN 10216-4:2002,12Ni14,1.5637,---,0.15,0.30-0.80,0.15-0.35,0.025,0.010,---,3.25-3.75,---,Cu 0.30; V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9329-3:1997,12 Ni 14,---,---,0.15,0.30-0.85,0.15-0.35,0.025,0.020,---,3.25-3.75,---,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-3:1997,12 Ni 14,---,---,0.15,0.30-0.85,0.15-0.35,0.025,0.020,---,3.25-3.75,---,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-5:2000,12 Ni 14,---,---,0.15,0.3-0.8,0.35,0.025,0.020,---,3.25-3.75,---,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,EN 10216-4:2002,X12Ni5,1.5680,---,0.15,0.30-0.80,0.35,0.020,0.010,---,4.50-5.30,---,Cu 0.30; V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9329-3:1997,X 12 Ni 5,---,---,0.15,0.30-0.80,0.35,0.025,0.020,---,4.50-5.30,---,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-3:1997,X 12 Ni 5,---,---,0.15,0.30-0.80,0.35,0.025,0.020,---,4.50-5.30,---,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-5:2000,X 12 Ni 5,---,---,0.15,0.3-0.8,0.35,0.025,0.020,---,4.50-5.30,---,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ASTM A 333/A 333M-99,8,---,K81340,0.13,0.90,0.13-0.32,0.025,0.025,---,8.40-9.60,---,---
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ASTM A 334/A 334M-99,8,---,K81340,0.13,0.90,0.13-0.32,0.025,0.025,---,8.40-9.60,---,---
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,JIS G 3460:1988,STPL 690,---,---,0.13,0.90,0.10-0.35,0.030,0.030,---,8.50-9.50,---,---
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,JIS G 3464:1988,STBL 690,---,---,0.13,0.90,0.10-0.35,0.030,0.030,---,8.50-9.50,---,---
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,EN 10216-4:2002,X10Ni9,1.5682,---,0.13,0.30-0.80,0.15-0.35,0.020,0.010,---,8.50-9.50,0.10,Cu 0.30; V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9329-3:1997,X 10 Ni 9,---,---,0.13,0.30-0.80,0.15-0.35,0.025,0.020,---,8.50-9.50,0.10,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9330-5:2000,X 10 Ni 9,---,---,0.13,0.3-0.8,0.35,0.025,0.020,---,8.50-9.50,0.10,V 0.05
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,EN 10216-4:2002,26CrMo4-2,1.7219,---,0.22-0.29,0.50-0.80,0.35,0.025,0.020,0.90-1.20,---,0.15-0.30,Cu 0.30
5.5A Chemical Composition of Alloy Steel Tubes and Pipes for Low-Temperature Service,ISO 9329-3:1997,26 CrMo 4,---,---,0.22-0.29,0.50-0.80,0.35,0.030,0.025,0.90-1.20,---,0.15-0.30,---
