Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 275 A,---,---,---,---,0.24,---,---,0.050,0.050,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 275 B,---,---,≤ 40,---,0.21,1.50,0.40,0.045,0.045,---,---,---,Non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,,,,> 40,---,0.22,1.50,0.40,0.045,0.045,---,---,---,Non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 275 C,---,---,---,---,0.20,1.50,0.40,0.040,0.040,---,---,---,Non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 275 D,---,---,---,---,0.20,1.50,0.40,0.035,0.035,---,---,---,Fine-grained
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,D,---,K02702,≤ 40,≤ 1.5,0.27,0.90,0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 283/A 283M-03,,,,> 40,> 1.5,0.27,0.90,0.15-0.40,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 1011/A 1011M-03,45 [310],---,K02507,≤ 6.0,≤ 0.229,0.25,1.35,report value,0.035,0.04,0.15,0.20,0.06,Cb 0.008; V 0.008; Al report value; Cu see standard; Cu + Ni + Cr + Mo 0.50; Cr + Mo see standard
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S275JR,1.0044,---,≤ 16,---,0.21,1.50,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.21,1.50,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.22,1.50,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S275J0,1.0143,---,≤ 16,---,0.18,1.50,---,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.18,1.50,---,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.18,1.50,---,0.040,0.040,---,---,---,N 0.009
