Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ISO 4950-3:1995,E 460 E,---,---,---,---,0.20,0.7-1.7,0.55,0.030,0.030,see std,see std,see std,see standard
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 709/A 709M-03a,HPS 70W [HPS 485W],---,---,---,---,0.11,1.10-1.35,0.30-0.50,0.020,0.006,0.45-0.70,0.25-0.40,0.02-0.08,N 0.015; Cu 0.25-0.40; V 0.04-0.08; Al 0.010-0.040
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 710/A 710M-02,Grade A Class 3,---,K20747,---,---,0.07,0.40-0.70,0.40,0.025,0.025,0.60-0.90,0.70-1.00,0.15-0.25,Cu 1.00-0.30; Cb 0.02 min
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S500Q,1.8924,---,---,---,0.20,1.70,0.80,0.025,0.015,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S500QL,1.8909,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S500QL1,1.8984,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,CSA G40.21-04,480WT (70WT),---,---,≤ 65,≤ 2¹⁄₂,0.26,0.80-1.50,0.15-0.40,0.03,0.04,---,---,---,grain refining elements 0.10; N 0.01-0.02 if N < 0.25 Va
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-3:1996,S500A,1.8980,---,3 ≤ t ≤ 70,---,0.03-0.12,0.30-1.80,0.50,0.025,0.015,0.3,2,0.5,N 0.015; Cu 2; Nb 0.060; Ti 0.10; V 0.10; Al 0.080
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-3:1996,S500AL,1.8990,---,3 ≤ t ≤ 70,---,0.03-0.12,0.30-1.80,0.50,0.020,0.010,0.3,2,0.5,N 0.015; Cu 2; Nb 0.060; Ti 0.10; V 0.10; Al 0.080
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 710/A 710M-02,Grade A Class 1,---,K20747,≤ 20,≤ ³⁄₄,0.07,0.40-0.70,0.40,0.025,0.025,0.60-0.90,0.70-1.00,0.15-0.25,Cu 1.00-1.30; Cb 0.02 min
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,ASTM A 852/A 852M-03,---,---,K12043,≤ 100,≤ 4,0.19,0.80-1.35,0.20-0.65,0.035,0.04,0.40-0.70,0.50,---,Cu 0.20-0.40; V 0.02-0.10
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,CSA G40.21-04,550WT (80WT),---,---,≤ 65,≤ 2¹⁄₂,0.15,1.75,0.15-0.40,0.03,0.04,---,---,---,grain refining elements 0.15; N 0.01-0.02 if N < 0.25 Va
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S550Q,1.8904,---,---,---,0.20,1.70,0.80,0.025,0.015,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S550QL,1.8926,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-2:1996,S550QL1,1.8986,---,---,---,0.20,1.70,0.80,0.020,0.010,1.50,2.0,0.70,N 0.015; B 0.0050; Cu 0.50; Nb 0.06; Ti 0.05; V 0.12; Zr 0.15
3.2.2B Chemical Composition of Alloy Steels for Structural Steel Plates,EN 10137-3:1996,S550A,1.8991,---,3 ≤ t ≤ 70,---,0.03-0.12,0.30-1.80,0.50,0.025,0.015,0.3,2,0.5,N 0.015; Cu 2; Nb 0.060; Ti 0.10; V 0.10; Al 0.080
