Section,Standard Designation,"Grade, Class, Type, Symbol, or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,12.5 < t ≤ 50,½ < t ≤ 2,0.28,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,50 < t ≤ 100,2 < t ≤ 4,0.30,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,100 < t ≤ 200,4 < t ≤ 8,0.31,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 516/A 516M-03,,,,> 200,> 8,0.31,0.85-1.20,0.15-0.40,0.035,0.035,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 537/A 537M-95 (2000),1,---,K12437,≤ 40,≤ 1½,0.24,0.70-1.35,0.15-0.50,0.035,0.035,0.25,0.25,0.08,Cu 0.35
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 537/A 537M-95 (2000),,,,> 40,> 1½,,1.00-1.60,,,,,,,
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ASTM A 737/A 737M-99,B,---,K12001,---,---,0.20,1.15-1.50,0.15-0.50,0.035,0.030,---,---,---,Cb 0.05
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3115:2000,SPV315,---,---,---,---,0.18,1.60,0.15-0.55,0.030,0.030,---,---,---,---
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ISO 9328-2:1991,P 315,---,---,---,---,0.20,0.90-1.60,0.10-0.50,0.035,0.030,0.30,0.30,0.08,Cu 0.30; Al ≥ 0.020; Cr+Cu+Mo+Ni 0.70
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,ISO 9328-2:1991,PH 315,---,---,---,---,0.15-0.20,,,,,,,,
4.1B Chemical Composition of Carbon Steel Pressure Vessel Plates,JIS G 3124:1987,SEV 245,---,---,6 ≤ t ≤ 150,---,0.20,0.80-1.60,0.15-0.60,0.035,0.035,---,---,0.35,Cu 0.35; Nb 0.05; V 0.10
