Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CG3M,---,J92999,0.03,1.50,1.50,0.04,0.04,18.0-21.0,9.0-13.0,3.0-4.0,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 744/A 744M-00,CG3M,---,J92999,0.03,1.50,1.50,0.04,0.04,18.0-21.0,9.0-13.0,3.0-4.0,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 17,---,---,0.20,2.00,2.00,0.040,0.040,22.00-26.00,12.00-15.00,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CH20,---,J93402,0.20,1.50,2.00,0.04,0.04,22.0-26.0,12.0-15.0,---,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,JIS G 5121:2003,SCS 23,---,---,0.07,2.00,2.00,0.040,0.040,19.00-22.00,27.50-30.00,2.00-3.00,Cu 3.00-4.00
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CN7M,---,---,0.07,1.50,1.50,0.04,0.04,19.0-22.0,27.5-30.5,2.0-3.0,Cu 3.0-4.0
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 744/A 744M-00,CN7M,---,N08007,0.07,1.50,1.50,0.04,0.04,19.0-22.0,27.5-30.5,2.0-3.0,Cu 3.0-4.0
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,332C11,---,---,0.07,1.5,1.5,0.040,0.040,19.0-22.0,27.5-30.5,2.0-3.0,Cu 3.0-4.0
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX2NiCrMo28-20-2,1.4458,---,0.030,2.00,1.00,0.035,0.025,19.00-22.00,26.00-30.00,2.00-2.50,Cu 2.00; N 0.20
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX4NiCrCuMo30-20-4,1.4527,---,0.06,1.50,1.50,0.040,0.030,19.00-22.00,27.50-30.50,2.00-3.00,Cu 3.00-4.00
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX2NiCrMoN25-20-5,1.4416,---,0.030,1.00,1.00,0.035,0.020,19.00-21.00,24.00-26.00,4.50-5.50,N 0.12-0.20
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CN3M,---,J94652,0.03,1.0,2.0,0.03,0.03,20.0-22.0,23.00-27.00,4.5-5.5,---
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX2NiCrMoCuN25-20-6,1.4588,---,0.025,2.00,1.00,0.035,0.020,19.00-21.00,24.00-26.00,6.00-7.00,Cu 0.50-1.50; N 0.10-0.25
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CN3MN,---,---,0.03,2.00,1.00,0.040,0.010,20.0-22.0,23.50-25.50,6.00-7.00,Cu 0.75; N 0.18-0.26
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 744/A 744M-00,CN3MN,---,J94651,0.03,2.00,1.00,0.040,0.010,20.0-22.0,23.5-25.5,6.00-7.00,Cu 0.75; N 0.18-0.26
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,EN 10283:1998,GX2CrNiMoCuN20-18-6,1.4593,---,0.025,1.20,1.00,0.030,0.010,19.50-20.50,17.50-19.50,6.00-7.00,Cu 0.50-1.00; N 0.18-0.24
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 743/A 743M-03,CK3MCuN,---,---,0.025,1.20,1.00,0.045,0.010,19.5-20.5,17.5-19.5,6.0-7.0,Cu 0.50-1.00; N 0.180-0.240
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ASTM A 744/A 744M-00,CK3MCuN,---,J93254,0.025,1.20,1.00,0.045,0.010,19.5-20.5,17.5-19.5,6.0-7.0,Cu 0.50-1.00; N 0.180-0.240
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 2 CrNiCuMoN 26 5 3 3,---,---,0.03,1.5,1.0,0.035,0.025,25.0-27.0,4.5-6.5,2.5-3.5,Cu 2.5-3.5; N 0.12-0.25
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,332C13,---,---,0.04,1.0,1.0,0.040,0.040,24.5-26.5,4.75-6.0,1.75-2.25,Cu 2.75-3.25
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,BS 3100:1991 AMD.1:1992,332C15,---,---,0.08,1.5,1.5,0.040,0.040,21.0-27.0,4.0-7.0,1.75-3.0,N 0.10-0.25
7.4.1.2A Chemical Composition of Austenitic Stainless Steels for General and Corrosion Resistant Applications,ISO 11972:1998,GX 2 CrNiMoN 26 5 3,---,---,0.03,1.5,1.0,0.035,0.025,25.0-27.0,4.5-6.5,2.5-3.5,N 0.12-0.25
