Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ISO 2604-II:1975,TS 56,---,---,0.04-0.10,2.00,0.20-0.80,0.045,0.030,16.00-20.00,11.00-14.00,---,Nb 10 x C to 1.4
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 213/A 213M-03a,---,---,S31725,0.03,2.00,0.75,0.040,0.030,18.0-20.0,13.5-17.5,4.0-5.00,N 0.10; Cu 0.75
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 249/A 249M-03,---,---,S31725,0.03,2.00,1.00,0.045,0.030,18.0-20.0,13.5-17.5,4.0-5.0,N 0.20
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 312/A 312M-03,---,---,S31725,0.03,2.00,1.00,0.040,0.030,18.0-20.0,13.5-17.5,4.0-5.0,N 0.10; Cu 0.75
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 358/A 358M-01,---,---,S31725,0.030,2.00,0.75,0.045,0.030,18.0-20.0,13.5-17.5,4.0-5.0,N 0.20
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 376/A 376M-02a,---,---,S31725,0.030,2.00,0.75,0.045,0.030,18.0-20.0,13.5-17.5,4.0-5.0,N 0.20; Cu 0.75
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,ASTM A 409/A 409M-01,---,---,S31725,0.030,2.00,1.00,0.045,0.030,18.0-20.0,13.5-17.5,4.0-5.0,N 0.020
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,DIN 17457:1985,X 2 CrNiMoN 17 13 5,1.4439,---,0.030,---,---,---,0.025,16.5-18.5,12.5-14.5,4.0-5.0,N 0.12-0.22
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,DIN 17458:1985,X 2 CrNiMoN 17 13 5,1.4439,---,0.030,---,---,---,0.025,16.5-18.5,12.5-14.5,4.0-5.0,N 0.12-0.22
5.9.2A Chemical Composition of Austenitic Stainless Steel Tubes and Pipes for Pressure Purposes and High Temperatures,AFNOR NF A 49-244:1993,X3CrNiMoN18-14-5,---,---,0.030,2.00,0.75,0.035,0.010,17.0-19.0,13.0-15.0,4.0-5.0,N 0.12-0.20
