Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS301J1,---,---,0.08-0.12,2.00,1.00,0.045,0.030,16.00-18.00,7.00-9.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X10CrNi18-8,1.4310,---,0.05-0.15,2.00,2.00,0.045,0.015,16.00-19.00,6.00-9.50,0.80,N 0.11
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,301L,---,S30103,0.03,2.00,1.00,0.045,0.030,16.0-18.0,6.0-8.0,---,N 0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,301L,---,S30103,0.03,2.00,1.00,0.045,0.030,16.0-18.0,6.0-8.0,---,N 0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS301L,---,---,0.030,2.00,1.00,0.045,0.030,16.00-18.00,6.00-8.00,---,N 0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS301L,---,---,0.030,2.00,1.00,0.045,0.030,16.00-18.00,6.00-8.00,---,N 0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,301LN,---,S30153,0.03,2.00,1.00,0.045,0.030,16.0-18.0,6.0-8.0,---,N 0.07-0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,301LN,---,S30153,0.03,2.00,1.00,0.045,0.030,16.0-18.0,6.0-8.0,---,N 0.07-0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X2CrNiN18-7,1.4318,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,6.00-8.00,---,N 0.10-0.20
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,302,---,S30200,0.15,2.00,0.75,0.045,0.030,17.0-19.0,8.0-10.0,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,302,---,S30200,0.15,2.00,0.75,0.045,0.030,17.0-19.0,8.0-10.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS302,---,---,0.15,2.00,1.00,0.045,0.030,17.00-19.00,8.00-10.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS302,---,---,0.15,2.00,0.75,0.045,0.030,17.00-19.00,8.00-10.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 167-99,302B,---,S30215,0.15,2.00,2.00-3.00,0.045,0.030,17.0-19.0,8.0-10.0,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS302B,---,---,0.15,2.00,2.00-3.00,0.045,0.030,17.00-19.00,8.00-10.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS302B,---,---,0.15,2.00,2.00-3.00,0.045,0.030,17.00-19.00,8.00-10.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUS302B,---,---,0.15,2.00,2.00-3.00,0.045,0.030,17.00-19.00,8.00-10.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,304,---,S30400,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,304,---,S30400,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS304,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS304,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUS304,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,8.00-10.50,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X5CrNi18-10,1.4301,---,0.07,2.00,1.00,0.045,0.015,17.00-19.50,8.00-10.50,---,N 0.11
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ISO 4955:1994,X7CrNi18-9,---,---,0.10,2.0,1.0,0.045,0.030,17.0-19.0,8.0-11.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,304L,---,S30403,0.030,2.00,0.75,0.045,0.030,18.0-20.0,8.0-12.0,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,304L,---,S30403,0.030,2.00,0.75,0.045,0.030,18.0-20.0,8.0-12.0,---,N 0.10
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS304L,---,---,0.030,2.00,1.00,0.045,0.030,18.00-20.00,9.00-13.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS304L,---,---,0.030,2.00,1.00,0.045,0.030,18.00-20.00,9.00-13.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X2CrNi19-11,1.4306,---,0.030,2.00,1.00,0.045,0.015,18.00-20.00,10.00-12.00,---,N 0.11
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X2CrNi18-9,1.4307,---,0.030,2.00,1.00,0.045,0.015,17.50-19.50,8.00-10.00,---,N 0.11
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,305,---,S30500,0.12,2.00,0.75,0.045,0.030,17.0-19.0,10.5-13.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS305,---,---,0.12,2.00,1.00,0.045,0.030,17.00-19.00,10.50-13.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS305,---,---,0.12,2.00,1.00,0.045,0.030,17.00-19.00,10.50-13.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X4CrNi18-12,1.4303,---,0.06,2.00,1.00,0.045,0.015,17.00-19.00,11.00-13.00,---,N 0.11
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,304N,---,S30451,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10-0.16
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,304N,---,S30451,0.08,2.00,0.75,0.045,0.030,18.0-20.0,8.0-10.5,---,N 0.10-0.16
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS304N1,---,---,0.08,2.50,1.00,0.045,0.030,18.00-20.00,7.00-10.50,---,N 0.15-0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS304N1,---,---,0.08,2.50,1.00,0.045,0.030,18.00-20.00,7.00-10.50,---,N 0.10-0.25
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,304LN,---,S30453,0.030,2.00,0.75,0.045,0.030,18.0-20.0,8.0-12.0,---,N 0.10-0.16
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 666-03,304LN,---,S30453,0.030,2.00,0.75,0.045,0.030,18.0-20.0,8.0-12.0,---,N 0.10-0.16
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS304LN,---,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,8.50-11.50,---,N 0.12-0.22
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS304LN,---,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,8.50-11.50,---,N 0.12-0.22
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X2CrNiN18-10,1.4311,---,0.030,2.00,1.00,0.045,0.015,17.00-19.50,8.50-11.50,---,N 0.12-0.22
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,---,---,S30600,0.018,2.00,3.7-4.3,0.020,0.020,17.0-18.5,14.0-15.5,0.20,Cu 0.50
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10088-2:1995,X1CrNiSi18-15-4,1.4361,---,0.015,2.00,3.70-4.50,0.025,0.010,16.50-18.50,14.00-16.00,0.20,N 0.11
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 167-99,309,---,S30900,0.20,2.00,0.75,0.045,0.030,22.0-24.0,12.0-15.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUH309,---,---,0.20,2.00,1.00,0.040,0.030,22.00-24.00,12.00-15.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,309S,---,S30908,0.08,2.00,0.75,0.045,0.030,22.0-24.0,12.0-15.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS309S,---,---,0.08,2.00,1.00,0.045,0.030,22.00-24.00,12.00-15.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4305:1999,SUS309S,---,---,0.08,2.00,1.00,0.045,0.030,22.00-24.00,12.00-15.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUS309S,---,---,0.08,2.00,1.00,0.045,0.030,22.00-24.00,12.00-15.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),EN 10095:1999,X12CrNi23-13,1.4833,---,0.15,2.00,1.00,0.045,0.015,22.00-24.00,12.00-14.00,---,N 0.11
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ISO 4955:1994,X6CrNi23-14,---,---,0.08,2.0,1.0,0.045,0.030,22.0-24.0,12.0-15.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 167-99,310,---,S31000,0.25,2.00,1.50,0.045,0.030,24.0-26.0,19.0-22.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4312:1991,SUH310,---,---,0.25,2.00,1.50,0.040,0.030,24.00-26.00,19.00-22.00,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),ASTM A 240/A 240M-03c,310S,---,S31008,0.08,2.00,1.50,0.045,0.030,24.0-26.0,19.0-22.0,---,---
8.1.3A Chemical Composition of Austenitic Stainless Steels (Plate/Sheet/Strip),JIS G 4304:1999,SUS310S,---,---,0.08,2.00,1.50,0.045,0.030,24.00-26.00,19.00-22.00,---,---
