Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
2.1 Chemical Composition of Carbon Steels for General Use,EN 10083-2:1991,C60,1.0601,---,0.57-0.65,0.60-0.90,0.40,0.045,0.045,0.40,0.40,0.10,Cr+Mo+Ni 0.63
2.1 Chemical Composition of Carbon Steels for General Use,ISO 683-1:1987,C 60,---,---,0.57-0.65,0.60-0.90,0.10-0.40,0.045,0.045,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ISO 683-1:1987,C 60 E 4,---,---,0.57-0.65,0.60-0.90,0.10-0.40,0.035,0.035,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ISO 683-1:1987,C 60 M 2,---,---,0.57-0.65,0.60-0.90,0.10-0.40,0.035,0.020-0.040,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1064,---,G10640,0.60-0.70,0.50-0.80,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1065,---,G10650,0.60-0.70,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1065,---,G10650,0.60-0.70,0.60-0.90,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C62D,1.0611,---,0.60-0.65,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C66D,1.0612,---,0.63-0.68,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C68D,1.0613,---,0.65-0.70,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C62D2,1.1222,---,0.60-0.64,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.03,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C66D2,1.1236,---,0.64-0.68,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.03,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C68D2,1.1232,---,0.66-0.70,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.03,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1069,---,G10690,0.65-0.75,0.40-0.70,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1070,---,G10700,0.65-0.75,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1071,---,G10710,0.65-0.70,75-1.05,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1070,---,G10700,0.65-0.75,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1070,---,G10700,0.65-0.75,0.60-0.90,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C70D,1.0615,---,0.68-0.73,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C72D,1.0617,---,0.70-0.75,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C70D2,1.1251,---,0.68-0.72,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.03,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C72D2,1.1242,---,0.70-0.74,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1074,---,G10740,0.70-0.80,0.50-0.80,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1075,---,G10750,0.70-0.80,0.40-0.70,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C76D,1.0614,---,0.73-0.78,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C78D,1.0620,---,0.75-0.80,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C76D2,1.1253,---,0.74-0.78,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C78D2,1.1252,---,0.76-0.80,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1078,---,G10780,0.72-0.85,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1078,---,G10780,0.72-0.85,0.30-0.60,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1078,---,G10780,0.72-0.85,0.30-0.60,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C80D,1.0622,---,0.78-0.83,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C82D,1.0626,---,0.80-0.85,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C80D2,1.1255,---,0.78-0.82,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C82D2,1.1262,---,0.80-0.84,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1080,---,G10800,0.75-0.88,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1080,---,G10800,0.75-0.88,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1080,---,G10800,0.75-0.88,0.60-0.90,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C86D,1.0616,---,0.83-0.88,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C86D2,1.1265,---,0.84-0.88,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1084,---,G10840,0.80-0.93,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1086,---,G10860,0.80-0.93,0.30-0.50,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1084,---,G10840,0.80-0.93,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1086,---,G10860,0.80-0.93,0.30-0.50,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C88D,1.0628,---,0.85-0.90,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C88D2,1.1272,---,0.86-0.90,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1090,---,G10900,0.85-0.98,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1090,---,G10900,0.85-0.98,0.60-0.90,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1090,---,G10900,0.85-0.98,0.60-0.90,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-2:1995,C92D,1.0618,---,0.90-0.95,0.50-0.80,0.10-0.30,0.035,0.035,0.15,0.20,0.05,Cu 0.25; Al 0.01
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C92D2,1.1282,---,0.90-0.95,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 29/A 29M-03,1095,---,G10950,0.90-1.03,0.30-0.50,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 108-03,1095,---,G10950,0.90-1.03,0.30-0.50,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,ASTM A 576-90b (2000),1095,---,G10950,0.90-1.03,0.30-0.50,---,0.040,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,SAE J403 NOV01,1095,---,G10950,0.90-1.03,0.30-0.50,---,0.030,0.050,---,---,---,---
2.1 Chemical Composition of Carbon Steels for General Use,EN 10016-4:1995,C98D2,1.1283,---,0.96-1.00,0.50-0.70,0.10-0.30,0.020,0.025,0.10,0.10,0.02,Cu 0.15; Al 0.01; N 0.007
