Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 269-02a,TP321,---,S32100,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 5 x (C+N) to 0.70
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 321,---,---,0.08,2.00,1.00,0.040,0.030,17.0-20.0,9.0-13.0,---,Ti 5 x C to 0.60
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 554-03,MT-321,---,---,0.08,2.00,1.00,0.040,0.030,17.0-20.0,9.0-13.0,---,Ti 5 x C to 0.60
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 632-02a,TP 321,---,S32100,0.08,2.00,0.75,0.045,0.030,17.0-20.0,9.0-13.0,---,Ti 5 x C to 0.60
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 778-01,TP 321,---,S32100,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 5 x C to 0.70
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS321TKA,---,---,0.08,2.00,1.00,0.040,0.030,17.00-19.00,9.00-13.00,---,Ti 5 x C min
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LW 24,---,---,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 5 x C to 0.80
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,BS 6323-8:1982 AMD 2:1989,LWCF 24,---,---,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 5 x C to 0.80
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X6CrNiTi18-10,1.4541,---,0.08,2.00,1.00,0.045,0.015,17.00-19.00,9.00-12.00,---,Ti 5 x C to 0.70
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X6CrNiTi18-10,1.4541,---,0.08,2.0,1.00,0.045,0.015,17.00-19.00,9.00-12.00,---,Ti 5 x C to 0.70
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 269-02a,TP347,---,S34700,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Cb 10 x C min to 1.10
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 511-96,MT 347,---,---,0.08,2.00,1.00,0.040,0.030,17.0-20.0,9.0-13.0,---,Cb+Ta 10 x C to 1.00
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 554-03,MT-347,---,---,0.08,2.00,1.00,0.040,0.030,17.0-20.0,9.0-13.0,---,Cb+Ta 10 x C to 1.00
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 632-02a,TP 347,---,S34700,0.08,2.00,0.75,0.045,0.030,17.0-20.0,9.0-13.0,---,Cb+Ta 10 x C to 1.0
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 778-01,TP 347,---,S34700,0.08,2.00,1.00,0.045,0.030,17.0-19.0,9.0-12.0,---,Cb+Ta 10 x C to 1.10
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,JIS G 3446:1994,SUS347TKA,---,---,0.08,2.00,1.00,0.040,0.030,17.00-19.00,9.00-13.00,---,Nb 10 x C min
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X6CrNiNb18-10,1.4550,---,0.08,2.00,1.00,0.045,0.015,17.00-19.00,9.00-12.00,---,Nb 10 x C to 1.00
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X6CrNiNb18-10,1.4550,---,0.08,2.0,1.00,0.045,0.015,17.00-19.00,9.00-12.00,---,Nb 10 x C to 1.00
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,ASTM A 269-02a,---,---,S31725,0.035,2.00,1.00,0.045,0.030,18.0-20.0,13.5-17.5,4.0-5.0,N 0.20 max
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17455:1999,X2CrNiMoN17-13-5,1.4439,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,12.40-14.50,4.00-5.00,N 0.12-0.22
5.3.2A Chemical Composition of Austenitic Stainless Steel Tubes for General and Structural Applications,DIN 17456:1999,X2CrNiMoN17-13-5,1.4439,---,0.030,2.0,1.00,0.045,0.015,16.50-18.50,12.50-14.50,4.00-5.00,N 0.12-0.22
