Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX130CrSi29,---,---,1.2-1.4,0.5-1.0,1.0-2.5,0.04,0.03,27-30,1,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 2,---,---,0.40,1.00,2.00,0.040,0.040,25.00-28.00,1.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HC,---,J92605,0.50,1.00,2.00,0.04,0.04,26.0-30.0,4.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HC30,---,J92613,0.25-0.35,0.5-1.0,0.50-2.00,0.04,0.04,26-30,4.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,452C11,---,---,1.0,1.0,2.0,0.050,0.050,25.0-30.0,4.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,452C12,---,---,1.0-2.0,1.0,2.0,0.050,0.050,25.0-30.0,4.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrNiSi27-4,---,---,0.3-0.5,1.5,1.0-2.5,0.04,0.03,25-28,3-6,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HD,---,J93005,0.50,1.50,2.00,0.04,0.04,26.0-30.0,4.0-7.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 11,---,---,0.40,1.00,2.00,0.040,0.040,24.00-28.00,4.00-6.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HD50,---,J93015,0.45-0.55,1.50,0.50-2.00,0.04,0.04,26-30,4-7,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrNiSi27-4,1.4823,---,0.30-0.50,1.50,1.00-2.50,0.040,0.030,25.00-28.00,3.00-6.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 17,---,---,0.20-0.50,2.00,2.00,0.040,0.040,26.00-30.00,8.00-11.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HE,---,J93403,0.20-0.50,2.00,2.00,0.04,0.04,26.0-30.0,8.0-11.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HE35,---,J93413,0.30-0.40,1.50,0.50-2.00,0.04,0.04,26-30,8-11,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,309C40,---,---,0.5,2.0,2.0,0.050,0.050,25.0-30.0,8.0-12.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX25CrNiSi18-9,1.4825,---,0.15-0.35,2.00,0.50-2.50,0.040,0.030,17.00-19.00,8.00-10.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrNiSi22-10,1.4826,---,0.30-0.50,2.00,1.00-2.50,0.040,0.030,21.00-23.00,9.00-11.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX25CrNiSi18-9,---,---,0.15-0.35,2,1.0-2.5,0.04,0.03,17-19,8-10,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrNiSi22-10,---,---,0.3-0.5,2,1.0-2.5,0.04,0.03,21-23,9-11,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HF,---,J93603,0.20-0.40,2.00,2.00,0.04,0.04,18.0-23.0,8.0-12.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 12,---,---,0.20-0.40,2.00,2.00,0.040,0.040,18.00-23.00,8.00-12.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HF30,---,J92803,0.25-0.35,1.50,0.50-2.00,0.04,0.04,19-23,9-12,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,302C35,---,---,0.2-0.4,2.0,2.0,0.050,0.050,17.0-22.0,6.0-10.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX25CrNiSi20-14,1.4832,---,0.15-0.35,2.00,0.50-2.50,0.040,0.030,19.00-21.00,13.00-15.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX25CrNiSi20-14,---,---,0.15-0.35,2,1.0-2.5,0.04,0.03,19-21,13-15,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrNiSi25-12,1.4837,---,0.30-0.50,2.00,1.00-2.50,0.040,0.030,24.00-27.00,11.00-14.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrNiSi25-12,---,---,0.3-0.5,2,1.0-2.5,0.04,0.03,24-27,11-14,0.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 13,---,---,0.20-0.50,2.00,2.00,0.040,0.040,24.00-28.00,11.00-14.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 13A,---,---,0.25-0.50,2.50,1.75,0.040,0.040,23.00-26.00,12.00-14.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,309C35,---,---,0.20-0.50,2.0,1.5,0.040,0.040,24.0-28.0,11.0-14.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HH,---,J93503,0.20-0.50,2.00,2.00,0.04,0.04,24.0-28.0,11.0-14.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 447/A 447M-93 (2003),Type I,---,J93303,0.20-0.45,2.50,1.75,0.05,0.05,23.00-28.00,10.00-14.00,---,N 0.20
