Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMo17-12-3,1.4432,---,---,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMo18-14-3,1.4435,---,---,---,0.030,2.00,1.00,0.045,0.015,17.00-19.00,12.50-15.00,2.50-3.00,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 CrNiMo 17 12,---,---,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,11.00-14.00,2.00-2.50,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 CrNiMo 17 13,---,---,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,11.50-14.50,2.50-3.00,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,316H,---,S31609,---,---,0.04-0.10,2.00,0.75,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 7 CrNiMo 17 12,---,---,---,---,0.04-0.10,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.00-2.50,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,316Ti,---,S31635,---,---,0.08,2.00,0.75,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,"Ti 5 x (C+N) min, 0.70 max; N 0.10;"
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNiMoTi17-12-2,1.4571,---,---,---,0.08,2.00,1.00,0.045,0.015,16.50-18.50,10.50-13.50,2.00-2.50,Ti 5 x C - 0.70
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 6 CrNiMoTi 17 12,---,---,---,---,0.08,2.00,1.00,0.045,0.030,16.50-18.50,11.00-14.00,2.00-2.50,Ti 5 X C to 0.80
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,316Cb,---,S31640,---,---,0.08,2.00,0.75,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,Cb 10 x C to 1.10; N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNiMoNb17-12-2,1.4580,---,---,---,0.08,2.00,1.00,0.045,0.015,16.50-18.50,10.50-13.50,2.00-2.50,Nb 10 x C to 1.00
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 6 CrNiMoNb 17 12,---,---,---,---,0.08,2.00,1.00,0.045,0.030,16.50-18.50,11.00-14.00,2.00-2.50,Nb 10 x C to 1.00
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,316LN,---,S31653,---,---,0.030,2.00,0.75,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,N 0.10-0.16
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoN17-11-2,1.4406,---,---,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,10.00-12.00,2.00-2.50,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoN17-13-3,1.4429,---,---,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,11.00-14.00,2.50-3.00,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 CrNiMoN 17 12,---,---,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.00-2.50,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 CrNiMoN 17 13,---,---,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,11.50-14.50,2.50-3.00,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,317L,---,S31703,---,---,0.030,2.00,0.75,0.045,0.030,18.0-20.0,11.0-15.0,3.0-4.0,N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMo18-15-4,1.4438,---,---,---,0.030,2.00,1.00,0.045,0.015,17.50-19.50,13.00-16.00,3.00-4.00,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 3 CrNiMo 18 16 4,---,---,---,---,0.030,2.00,1.00,0.045,0.030,17.50-19.50,14.00-17.00,3.00-4.00,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,317LN,---,S31753,---,---,0.030,2.00,0.75,0.045,0.030,18.0-20.0,11.0-15.0,3.0-4.0,N 0.10-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoN18-12-4,1.4434,---,---,---,0.030,2.00,1.00,0.045,0.015,16.50-19.50,10.50-14.00,3.00-4.00,N 0.10-0.20
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,317LMN,---,S31726,---,---,0.030,2.00,0.75,0.045,0.030,17.0-20.0,13.5-17.5,4.0-5.0,N 0.10-0.20
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMoN17-13-5,1.4439,---,---,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,12.50-14.50,4.00-5.00,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 2 CrNiMoN 17 13 5,---,---,---,---,0.030,2.00,1.00,0.045,0.025,16.50-18.50,12.50-14.50,4.00-5.00,N 0.12-0.22
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,321,---,S32100,---,---,0.08,2.00,0.75,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 5 x (C+N) to 0.70; N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNiTi18-10,1.4541,---,---,---,0.08,2.00,1.00,0.045,0.015,17.00-19.00,9.00-12.00,---,Ti 5 x C to 0.70
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 6 CrNiTi 18 10,---,---,---,---,0.08,2.00,1.00,0.045,0.030,17.00-19.00,9.00-12.00,---,Ti 5 x C to 0.80
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,321H,---,S32109,---,---,0.04-0.10,2.00,0.75,0.045,0.030,17.0-19.0,9.0-12.0,---,Ti 4 x (C+N) to 0.70
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNiTiB18-10,1.4941,---,---,---,0.04-0.08,2.00,1.00,0.035,0.015,17.00-19.00,9.00-12.00,---,Ti 5 x C to 0.80; B 0.0015-0.0050
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 7 CrNiTi 18 10,---,---,---,---,0.04-0.10,2.00,1.00,0.045,0.030,17.00-19.00,9.00-12.00,---,Ti 5 x C to 0.80
