Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiMo17-12-2,1.4404,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiMo17-12-3,1.4432,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiMo18-14-3,1.4435,---,0.030,2.00,1.00,0.045,0.030,17.00-19.00,12.50-15.00,2.50-3.00,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,316N,---,S31651,0.08,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,N 0.10-0.16
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS316N,---,---,0.08,2.00,1.00,0.045,0.030,16.00-18.00,10.00-14.00,2.00-3.00,N 0.10-0.22
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,316LN,---,S31653,0.030,2.00,1.00,0.045,0.030,16.0-18.0,10.0-13.0,2.00-3.00,N 0.10-0.16
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS316LN,---,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.50-14.50,2.00-3.00,N 0.12-0.22
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiMoN17-11-2,1.4406,---,0.030,2.00,1.00,0.045,0.030,16.50-18.50,10.00-12.00,2.00-2.50,N 0.12-0.22
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiMoN17-13-3,1.4429,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,11.00-14.00,2.50-3.00,N 0.12-0.22
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,316Ti,---,S31635,0.08,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,N 0.10; Ti 5 x(C+N) to 0.70
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS316Ti,---,---,0.08,2.00,1.00,0.045,0.030,16.00-18.00,10.00-14.00,2.00-3.00,Ti 5 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS316Ti,---,---,0.08,2.00,1.00,0.045,0.030,16.00-18.00,10.00-14.00,2.00-3.00,Ti 5 x C min
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X6CrNiMoTi17-12-2,1.4571,---,0.08,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.0-2.50,Ti 5 x C to 0.70
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,317,---,S31700,0.08,2.00,1.00,0.045,0.030,18.0-20.0,11.0-15.0,3.0-4.0,N 0.10
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS317,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,11.00-15.00,3.00-4.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS317,---,---,0.08,2.00,1.00,0.045,0.030,18.00-20.00,11.00-15.00,3.00-4.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS317L,---,---,0.030,2.00,1.00,0.045,0.030,18.00-20.00,11.00-15.00,3.00-4.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiMo18-15-4,1.4438,---,0.030,2.00,1.00,0.045,0.030,17.50-19.50,13.00-16.00,3.00-4.00,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS 317J1,---,---,0.040,2.50,1.00,0.045,0.030,16.00-19.00,15.00-17.00,4.00-6.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X2CrNiMoN17-13-5,1.4439,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,12.50-14.50,4.00-5.00,N 0.12-0.22
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM B 691-02,---,---,N08367,0.030,2.00,1.00,0.040,0.030,20.00-22.00,23.50-25.50,6.00-7.00,N 0.18-0.25; Cu 0.75
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS836L,---,---,0.030,2.00,1.00,0.045,0.030,19.00-24.00,24.00-26.00,5.00-7.00,N 0.25
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM B 649-02,---,---,N08904,0.020,2.00,1.00,0.045,0.035,19.00-23.00,23.00-28.00,4.00-5.00,Cu 1.0-2.0
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS890L,---,---,0.020,2.00,1.00,0.045,0.030,19.00-23.00,23.00-28.00,4.00-5.00,Cu 1.00-2.00
